"ContractType","PaymentMethod","Autopay","ServiceType","MonthlyCharges","DateOfServiceStart","ServiceCalls","DataUsagePerMonth","CustomerAge","Churn","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1-Year","Check","No","DSL3",64.05,2017-07-05,3,119.56,48,"No","0.419140914242237","0.55701878998843","0.258228615648474","0.949744385635107","0.542398578659826","-0.264322566667604","1.11741268008081","0.775195416959045","1.1279937542262","0.0648443351554046","1.08015825701575","0.339386094841642","0.453270520814526","0.763645962881393","0.287482794257068","0.790953718000055","0.35773453703635","0.578365838415544","0.584277287836547","-0.207331072187666"
"2-Year","Bank Transfer","Yes","Fiber Optic",53.31,2012-10-01,3,209.13,39,"No","-1.93671274292177","","-1.59705481057853","-1.9038712454807","-1.6904544684446","-2.02419058969655","-1.82533606867017","-1.8693487957037","-1.27226685516518","-2.20920160711425","-1.50606223254552","-2.03049741273164","-1.20995436625115","-1.7312259225102","-2.09469246358474","-1.4215321012091","","-1.42292644902513","-1.46046815569849","-1.54502424741155"
"Monthly","Bank Transfer","Yes","Fiber Optic",84.69,2018-11-30,5,206.5,36,"No","-0.780809341839038","-0.795805727523897","-0.285292096340583","-0.550624290977736","-0.488084919705749","","-0.537473245654761","-0.479277979538741","-0.0131181496941573","-0.73428146254925","","","-0.562129692716144","0.247449246660584","-0.352966031344414","-0.720780465656634","","-0.407149280746897","-0.367554029829524","-0.0539695169352186"
"Monthly","Bank Transfer","Yes","Fiber Optic",123.73,2017-01-10,1,175.46,44,"No","-1.17083380312826","-0.725425851511982","-0.361867441236967","-0.732701992817881","-0.807176770732787","-0.38198107476512","-0.718672338938645","-0.965671605370436","-0.735159690215124","-0.511291569622614","","-0.733232625405263","-0.387522868737999","-0.701279829676241","-0.536779089431758","-0.687587678286525","-0.360267076938474","-0.686568306782456","-0.451577880484894","-0.602762274227949"
"1-Year","Bank Transfer","Yes","DSL1",84,2015-01-21,3,187.96,58,"No","0.384085552276483","0.896672291723342","0.947424996908262","0.924488070183515","0.648423883255698","0.144797652476364","0.0443725907595175","0.278870672503108","0.0674363912551167","","0.154274331406374","0.597865088747659","0.135497784117498","0.217051758141441","0.715335576893601","0.719166749451372","","0.5422012325635","","0.487270764609554"
"Monthly","Bank Transfer","Yes","DSL3",34.76,2012-08-18,5,190.7,21,"No","0.967201746625901","1.09924692898498","1.04093195821268","0.917409081818887","1.09475427360749","0.772526371648947","0.974398093682798","1.13482996221744","1.52911430377433","0.722019489793035","0.941666615388771","","1.0826907778417","1.22221159575479","1.26937966288833","1.14769206448966","0.985323819886252","1.10667238881287","0.231824219531256","1.49008436116531"
"2-Year","Credit Card","No","DSL1",47.68,2015-03-25,4,220.78,37,"No","0.0715254542875021","0.0544390183659186","0.0184267802625904","0.166830212382131","-0.248393126788102","0.467936808124154","0.118694725514662","0.178348235677983","0.148685928985298","0.043430881926281","0.287285543720232","0.179651435148014","0.586360850923124","0.272054471186917","0.181104028291179","0.303031675454689","0.380026296463534","-0.309087976037782","0.784535851384092","0.462368498267167"
"Monthly","Credit Card","Yes","Fiber Optic",101.64,2019-07-05,2,156.69,52,"No","0.863947698555986","1.13490577900881","0.698225893145046","0.809229306857322","0.902081054893014","1.02282095138409","1.47431311716793","1.1647918283371","0.998820763347196","1.5254194326038","1.29926968223594","1.00805883687804","0.788309587769842","0.935740446639362","1.40955068734305","0.949187142965549","0.426707624850041","0.900040446453062","0.608090724958148","0.601554957215882"
"2-Year","Bank Transfer","Yes","DSL1",57.8,2018-11-15,1,190.05,36,"Yes","2.32161691854988","1.36101767219347","1.38071551295367","1.40057867978359","1.01610792890725","1.55272714440415","1.68309778129356","1.3088779393531","1.35817213786296","1.91207830189764","1.8064841292761","","1.43682421281459","1.06472007587929","1.23229834071719","1.84249326471009","1.97468530921059","2.36007019656484","1.92857754886275","1.65856994533534"
"Monthly","Bank Transfer","Yes","Fiber Optic",111.81,2019-09-26,4,185.78,23,"No","-1.03825174922632","-0.86822137968251","-0.959865630971407","-0.655181638443613","-0.847392861010355","","-0.440419435155003","-0.810459169239742","-0.971309770240376","-0.876208694845529","-0.60944889014023","-0.455183888451864","-1.62836665645861","","-0.366495641144937","-0.885529635517484","-0.875665901568649","-0.713853912956751","-0.214075575402019","-0.596769904751722"
"Monthly","Bank Transfer","Yes","DSL2",77.1,2017-07-02,4,141.25,55,"No","-0.5525001982884","0.115789765382541","0.23798870493066","0.0726272544935935","0.21046332722728","-0.662469747441619","-0.118082147500089","-0.535180319517153","-0.0845689640168226","0.0915745276117086","-0.621218009945011","-0.448993222182791","-0.195871017676186","0.359139643497334","0.224707102458396","-0.700715450271317","-0.421181781242494","-0.147451475028794","0.258247172630731","-0.000427747452796141"
"Monthly","Bank Transfer","Yes","DSL3",98.13,2012-09-05,1,168.37,25,"No","-1.01923203449767","-1.17152694480215","-1.17450790236284","-1.41841081046963","-1.38289292262813","-0.968087161469504","-1.42373750391688","","-0.464162451609079","-1.17661183548471","-1.61863801864071","-0.963888347828025","-0.724751982897163","-1.53585842158552","-0.729460555347713","-1.5793266511008","-1.4672117742381","-0.848462836139879","-1.33701686497833",""
"Monthly","Bank Transfer","No","Fiber Optic",78.14,2012-07-10,2,142.2,47,"Yes","-0.243068899180176","","-0.525438143078234","-0.613051071114045","-0.847279229946477","-0.867797568772158","-0.379076324586609","-0.298503559203508","0.0110253793956536","-0.600032399292872","-0.520874343482343","-0.135432739013056","-0.486087915348127","-0.137396493178955","-0.550940835431332","-0.106102965985077","-0.725496484681971","-0.135814813766726","-0.191366815378857","-0.720555720121002"
"Monthly","Check","No","Fiber Optic",42.13,2020-04-28,2,165.51,30,"No","0.505635012698495","0.19978871938155","0.426514172211969","0.119693635220013","0.349630161097056","0.312702436418864","0.524348186064051","0.328187825094281","0.3079884477386","-0.000698287064872904","0.55752228733546","-0.231950977884837","","0.815403404605687","0.492059566768396","0.151967195607969","","0.0897608627403214","0.36216394696999",""
"1-Year","Bank Transfer","No","Fiber Optic",75.41,2016-12-22,3,142.15,62,"No","-0.754329515141146","-0.778161408587744","-0.634186367201464","-0.83410462649213","-0.602132822028136","-0.530702284245206","-0.870773948715677","-0.619278321800189","-0.808244197048121","-0.700171741977625","-1.23505664280513","-1.36496840749666","-0.991773367010798","-0.759366903998841","-0.741921287254694","-0.514819599510546","-1.47924468298372","-0.976966875019238","-0.867065367103975","-0.967658841461291"
"1-Year","Check","No","Fiber Optic",101.52,2014-10-08,1,182.21,18,"No","-1.40405442406575","-0.363365149714102","-1.01150902200183","-0.521624402420873","-1.09975446148386","-0.529316016914801","-0.531270164544098","-0.637778320182594","-0.456133933282433","-1.03694095380467","-0.652412481887362","-1.35068387244329","-0.551939429587227","-0.827729382903104","-1.26998250516868","","-1.18568238136012","-1.04091436868069","-0.848500798138012","-0.491317401578194"
"Monthly","Bank Transfer","Yes","Fiber Optic",61.74,2016-08-26,5,270.73,58,"No","-1.1409976204078","-0.44883957530467","-0.786055811279145","-0.735496881260396","","-0.740513304943904","-1.28276804166197","-0.602711415508042","","-0.954769861920058","-0.924357943543868","-0.806186293207869","-1.42057127185426","-0.873321181979352","-0.815090275185765","-0.997141553328764","-0.666829155207079","-1.11299483357323","-0.111923811326501","-0.589808210137458"
"2-Year","Credit Card","Yes","Fiber Optic",85.88,2012-07-18,3,246.53,68,"No","-0.838245964380113","-0.774949047396129","-0.796041704368665","-0.61435260183241","-0.301886090609768","-0.842548801057348","","-0.766936613760111","-0.606911527668704","-0.391393513566963","-0.53390200685093","-1.1232018923342","","-0.64950015902298","-0.231207229319933","-0.38070066093786","-0.699745735004288","-0.635533065917075","-1.29989594471622","-0.507693119381495"
"Monthly","Credit Card","Yes","DSL1",50.64,2019-12-25,1,266.57,30,"Yes","-0.4556867708078","-0.723115418178355","-0.955523653030418","-0.407292900984523","-0.75148370290931","-0.804315541948532","","-0.829921703779979","-0.441598753911454","-0.538472782199003","","-1.18150247667861","-0.412639136068813","-0.419351535781123","-0.314463907125586","-0.344945312325605","-0.29809036834646","-0.333802815928227","-0.225697430680414","-0.182875328949671"
"Monthly","Credit Card","Yes","DSL1",51.8,2016-02-17,4,259.57,40,"No","0.379742092065768","-0.0371985956760722","-0.00178301259332349","-0.099458574018848","0.146839770306595","0.236203501233432","0.52336363975145","0.069911752241256","0.20606469744192","-0.302818533068635","0.414997289540553","-0.760754008094318","0.274283552578529","-0.160003837325388","-0.0599471438852097","0.0401621837359774","0.254357099081231","-0.027676147451254","0.13450327718197","-0.0528383732797085"
"Monthly","Bank Transfer","Yes","DSL1",103.48,2019-02-26,4,230.78,59,"No","0.0382100630983385","0.331582584257911","0.330084519665012","0.151426193095211","","-0.326669708817169","0.0297150465486225","0.551828173367711","0.425944247714763","0.432085440687516","0.450943044748335","0.786512876211312","0.880933868925304","0.24329653574635","0.151443382986289","-0.252722519676103","0.444161912345134","0.680667439793789","-0.163781791796523","0.635858979263366"
"Monthly","Bank Transfer","No","DSL3",51.28,2018-12-24,1,133.48,38,"No","0.495548649396876","0.00595080936077396","0.187325885282497","0.147448071140533","0.128667719409386","0.643323248253353","0.249259165402576","","0.325670266788114","0.299318774997966","0.526786748631321","0.497270302450313","0.353057619589283","0.41256627417291","0.410904640494596","0.510666049080708","0.490943949455901","0.477022847980844","0.548886813404209","0.142303828141016"
"2-Year","Bank Transfer","Yes","Fiber Optic",63.75,2017-11-05,2,197.95,32,"No","0.573177327763034","0.00408356138471815","0.229633432713484","-0.45533946534061","0.133039264956293","0.171702444175337","0.181105577718086","0.354616651013401","0.123501718401511","-0.0115009254035577","0.497441786916607","","0.429798174559133","0.571235725943368","-0.61704104301277","0.0548820609049215","0.380077592401657","0.920566885892382","0.416543961778913",""
"2-Year","Bank Transfer","No","DSL3",84.47,2018-12-20,4,117.38,83,"No","0.776548903168056","1.29735321993235","1.24058087246208","1.32272420071502","1.26243836411291","1.26721024821376","1.4197827386156","1.16847407471638","1.39820313340208","0.63089173715877","1.11196751463092","1.36522430531976","1.522845123572","0.389831881640585","1.50963373727912","0.79847611829103","1.06752559102187","1.38975702292015","1.48561128078419","1.65072748683877"
"1-Year","Bank Transfer","Yes","DSL2",45.7,2014-07-27,2,227.49,28,"No","-1.69578482034693","-2.06659877691308","-2.37062641835869","","-1.86165134997368","-2.37661392094834","-1.80492993852133","-2.10974009586536","-2.14175817140083","-2.09655713595426","-1.56624866076087","-2.208391675951","-2.53067406177499","-2.09825776452454","-2.21839501602582","-2.08456487905751","-1.91258420479138","-2.07043847242059","-1.69355799526896","-1.80778325716819"
"2-Year","Bank Transfer","No","DSL2",89.26,2018-09-24,7,280.95,44,"No","-1.42883499566688","-0.975663318369228","-0.691094505523478","-1.60554584098253","","-0.978717508071166","-0.699003328819432","-1.44242758237663","-1.19920819589001","-1.05557078753424","-1.59132080962784","-1.19862475650654","-1.16207383236079","-1.25631868296617","-1.62504491449597","-1.56603303003653","-0.168707320261933","-0.809442140110862","-1.32142635883599","-1.0590746102442"
"2-Year","Credit Card","Yes","DSL3",86.35,2018-12-02,2,191.51,69,"No","1.04367043965106","0.619771582812489","0.85013640597418","0.94548456800925","1.05951126311847","","0.834120000740285","1.62159162689551","1.17794081058639","1.28528418663895","1.10092389948144","1.60889233979512","1.22581157525116","0.984116630767356","0.890985468532282","0.928979693193516","1.19946215571755","1.08206986430933","0.418726378465002","0.7014275743934"
"Monthly","Check","No","Other",85.26,2010-01-27,2,132.88,56,"No","0.697296905605288","0.375884554153098","0.39938799934503","0.229301177314552","0.346691259232395","0.780246437313425","-0.154026778649829","0.922409593142845","0.612890356402747","0.583211819635416","0.429456097923016","0.00475830158415148","0.399094700635154","0.0334540804031334","0.62619061996984","0.398203364688307","-0.179895244107583","0.25191715086293","0.238220052305673","0.670714323316221"
"Monthly","Credit Card","Yes","DSL1",58.68,2018-04-18,4,53.69,60,"No","0.189176325772611","1.04098738843385","0.276168803106174","0.929396911225361","","0.54134399870789","-0.133839424510441","0.278317817572008","0.409041244116639","0.981543606437138","0.120501163551529","0.569896747736232","0.391424476822273","0.111713779684622","0.554198236927039","0.961916562419589","0.152379336682923","0.497833248446866","0.734167052074765","0.214184791020236"
"Monthly","Bank Transfer","Yes","Fiber Optic",65.93,2019-03-02,3,225.69,40,"Yes","-0.409711676448731","-0.680645946354137","-0.967672827715023","-0.252903574323463","","-0.725977446623508","-0.574809324015144","-0.338821665841738","0.0592208202076757","-0.421168756440922","0.0030747868426043","-0.647198464295475","-0.0196646392941652","0.00609651615940707","","-0.0309529760961564","0.0782469333380961","-0.175847546757291","-0.0512198338231707","-0.00713622034425491"
"Monthly","Credit Card","Yes","Fiber Optic",39.39,2017-04-19,3,213.67,40,"No","-0.0909408505197062","-0.0252792488830584","","-0.291504318792539","0.470349097296435","-0.192295295823655","-0.0656589305447576","0.657597458118803","0.0396468686676498","0.299178575777817","-0.118304615101145","0.720733281925847","-0.116032608873377","0.221281628952621","0.281627923848488","-0.375217554411136","0.27770206105685","-0.592004251012966","-0.273189164182889","-0.237152391517868"
"2-Year","Bank Transfer","No","DSL3",84.59,2010-09-01,2,209.73,65,"No","-0.399933111309967","-0.0391957360572416","-0.411065093753535","0.0182887966551412","0.0947129001965342","0.290536496153684","0.0159118409598207","0.536042761091556","-0.0307123874534193","0.178052495103539","0.420392511451724","0.194651709497109","-0.0305742359914136","0.056753413143664","-0.115808391925332","-0.185310105589447","-0.247527930779507","0.694284584935946","0.123682649900979","-0.347517087966987"
"2-Year","Credit Card","No","DSL1",71.07,2013-06-26,3,139.73,56,"No","-1.22692741630524","-1.11243734010118","-0.801904487066328","-1.19639358158926","-1.21189834904317","-1.68118328721853","-1.31195568835813","-1.47640820994605","-1.06282006254511","-1.74016771873944","-1.74673902151554","","-1.4586798365206","-1.04847781921764","-0.848852689624191","-1.34100916107313","-1.91930368825746","-0.961955138986856","-1.0854705752428","-1.15539975088439"
"1-Year","Check","No","DSL1",78.89,2015-08-13,1,176.4,51,"No","0.0678554301993127","0.228023047962943","0.248649619500415","0.591052944354178","0.45122072714414","0.563477542131271","0.103749008765928","0.019621546163088","-0.131167146463355","0.243333485829489","0.121135304252821","0.477317488693223","","0.238960922981669","0.473369305420829","-0.141695059032186","-0.116201999903598","-0.198711849975952","0.0536690609142638",""
"Monthly","Credit Card","Yes","Fiber Optic",36,2015-07-27,1,160.96,55,"No","-1.42706623857219","-1.66241363002998","-1.41011329121202","","-1.57894316171646","-1.62838692131344","-1.0067762914508","-1.87247559176564","-1.69240521852963","-1.39739459516384","-1.46535961946637","","-1.45210407310653","-1.13571548716816","-1.03320753343294","-1.33288737567088","-1.92030829455673","-1.2642930565082","-1.65453635916622","-1.41223150941709"
"2-Year","Check","No","DSL1",69.68,2014-02-21,6,190.5,51,"No","1.10621052695522","1.11943508551111","1.65756501256044","1.39157717751955","1.62602006906557","1.52837198424411","1.1369455526526","2.07007023763199","1.03894497064741","1.51676650461393","1.53702637935901","1.31617747249854","1.91906745620718","1.45286080490993","1.74101490986201","","1.00036643516771","1.42501032548895","1.93934814524831","1.37975714802554"
"2-Year","Credit Card","Yes","Fiber Optic",52.57,2020-03-14,2,287.3,34,"No","-0.0596958444619816","-0.101914139874395","-0.593790089880182","-0.135728723085731","-0.183434492186965","-0.349485752196211","-0.211001264966062","-0.194605681419423","-0.549862211176414","-0.461404758250292","","0.00224586940282906","-0.012259854478339","0.566484297628607","-0.125669523944495","-0.249688370878406","0.428633908049643","-0.0111199814495512","-0.0142375380592344","0.208492557635269"
"Monthly","Bank Transfer","No","DSL3",62.93,2020-04-18,4,249.46,50,"No","0.0654504592919674","-0.371576571372313","0.0434810913290625","-1.0243240940996","-0.210173758453887","-0.0350875901547554","0.261459810748586","0.0175730253302521","-0.264511659464177","-0.199053641090944","","0.0758405226521133","-0.726987784809533","-0.30302963182059","-0.970034922376169","-0.341572750995432","-0.114368308119897","-0.666561501161875","0.010617228384259","0.33454491900377"
"2-Year","Check","No","Other",59.13,2013-04-01,2,233.66,54,"No","0.899464433002619","0.753746122772108","0.179165955869893","-0.21561246012538","0.417291829939021","0.588271465296459","0.908280847048179","0.760747143790547","0.120047723564201","0.698086385089515","1.00300487670872","-0.160602531918542","0.27939650371192","0.203641614090567","0.622974248602722","0.659432372700537","0.627958828271189","0.518893813299312","0.524527280614221","0.168639053187439"
"2-Year","Check","No","Fiber Optic",96.54,2015-11-29,4,116.99,41,"No","0.581897233958642","0.0795483630884202","-0.0475052711976117","0.101714271899794","-0.053963016686192","0.319922236684804","0.384240535696038","0.962426174813053","0.372609389299681","","0.270109273757412","0.245246235447386","0.212933262460451","0.00435375000078469","-0.0497482640515884","0.76650344215067","0.111264002857174","0.639469073551237","0.720622482216267","0.304143110301269"
"2-Year","Credit Card","No","Fiber Optic",78.63,2015-12-14,2,307.04,23,"No","1.09644607473892","1.00326908142962","1.15185083748485","0.894130350172395","0.923637911154927","0.940031570578446","1.32371996783685","0.872214667118319","0.639671974569658","1.07881212486722","1.0906831803626","1.15067625538714","1.66912947406754","1.08287790241434","0.594328695621729","0.440973046274242","0.741816263459554","0.562617568565404","1.17032063087648","0.952510780312126"
"2-Year","Check","No","Fiber Optic",66.77,2011-04-03,2,183.72,37,"No","-0.816235856938921","-0.547489432580988","-0.367640507795372","-0.673138935996862","-0.091330738434498","-0.30305599088857","0.175347930320523","-0.299200214976587","-0.22892946121633","-0.197967622928688","-0.386774157780443","-0.138121711919502","-0.192707639749007","0.00495918976926488","","-0.392977168745673","-0.237619479007943","-0.239472200369554","-0.540745088251705","-0.00492239533878993"
"Monthly","Bank Transfer","Yes","DSL3",80.36,2017-04-14,3,173.46,40,"No","-0.380119204775761","-0.717758547455439","-0.243311159138947","","-0.685455417096245","-0.290145855184459","-0.250180893973403","-0.818823450389533","-0.343282359956683","-0.816511424675818","","-1.21500871411645","-0.455877520321314","0.155332338223818","-0.365214711469953","-0.247352309724155","-0.293246716959305","","-0.229824078627299","0.0601608436294717"
"Monthly","Check","No","DSL1",65.43,2016-08-06,1,108.1,43,"No","-0.363073893044595","-0.00284330613719182","-0.246875801801214","0.139704862797733","0.0210180636683635","0.436372659771799","","0.145547317703561","-0.429387798169658","","-0.0529347240969947","-0.065714774467652","0.446716369176129","-0.482101570568812","-0.445184189749238","-0.735885331963908","-0.235968054128492","0.594011676145056","-0.0395023810239682","0.295198724559393"
"Monthly","Credit Card","Yes","Fiber Optic",28.63,2018-10-04,4,124.84,57,"No","-0.844879761476427","-0.973133660042588","-1.34134411448617","-0.79027478884365","-0.943216156295474","-0.854137181102048","-0.624502730627844","-0.96799351403794","-0.83622744257371","-0.642399748784611","-0.720421731711292","-0.767664501358724","-1.37781361401325","","-0.400162368767741","-1.63690959132635","-0.756865968312663","-1.45554974739536","-0.543491232460728","-0.176383868077327"
"2-Year","Credit Card","Yes","DSL1",47.72,2017-06-26,4,169,39,"No","1.7748632768353","2.49074411746613","2.63874990847085","1.45064054837982","2.4001847959811","2.47332799621913","2.26723212810351","","2.82218279503971","2.0166876229805","","2.0951177857427","1.84002605276328","2.01723761661897","2.91370746886111","2.50817593406933","1.85838767074703","2.48049970152322","2.09015224153983","1.8971668353855"
"1-Year","Bank Transfer","No","Fiber Optic",65.2,2018-06-26,5,244.05,41,"No","-0.806353886727726","-0.707389586925203","-1.10524704769328","-0.536653130127985","-1.14098988805989","-0.982083537381211","-0.901267747423375","-0.805436904274436","-1.20696284835945","-1.32847258108721","-1.06940485847922","-1.15230294863488","-1.23453332182194","-0.930500152438802","-0.913807725963094","-0.24782156753374","-1.21238953062753","-0.784223512590399","-1.02812409849501","-1.04151558994498"
"1-Year","Credit Card","No","Other",131.65,2017-10-04,3,151.98,24,"No","-1.75075549122886","","-1.11634389898514","","-1.79288884618159","-1.43399960457429","-1.15152232210898","-0.730296410484777","-0.496431215437407","-0.415107978160071","","-1.59688966737926","-0.643203467325613","-0.0541347060422646","-1.01614497256753","-0.639388143822015","-0.690295133278739","-0.890193749694844","-0.780200951207223","-1.08475870438966"
"Monthly","Check","No","Fiber Optic",60.97,2020-11-21,2,106.06,47,"No","-0.11898876355904","0.389984610561274","0.228573803128413","","0.362587279495652","","","0.877550501837707","0.326012960932445","0.0207250895211467","0.401329976069527","0.253899798582394","0.440246260322289","0.586070201918867","0.14310679266209","0.609921393120159","0.0268776007872243","0.176232043897315","-0.067481164292981",""
"Monthly","Credit Card","No","DSL2",52.43,2018-03-14,6,175.77,18,"No","1.1856386864318","0.874436042101582","1.73872377903786","1.32525241586084","1.30600234159818","1.16081974481644","1.24439194495836","1.30786621246059","1.43843435842084","0.96271996867646","","0.976825032183862","0.495848023191744","1.00392071367321","1.22820231594922","1.16693849476228","1.41541391733328","1.65653185484246","0.873200353935592","1.01456757312605"
"1-Year","Credit Card","Yes","Fiber Optic",40.46,2016-02-19,1,141.16,49,"No","-0.155278774343249","-0.367912048063993","","0.123779813933307","0.1677019700305","0.337798036227921","-0.339412320488348","0.0873729078664139","-0.716357948278773","-0.368963113688187","-0.385848784729848","-0.495775785025057","","-0.299383649644397","-0.562943263235336","-0.137558557523272","-0.163475935181976","-0.529816268167664","0.431576065803661","0.141125652201015"
"Monthly","Check","No","Fiber Optic",76.88,2018-08-23,1,207.2,48,"No","0.141395011665202","0.352041696368612","0.450592806819646","0.412351437491276","-0.31187246911402","","0.33341678472506","-0.0944372686136857","-0.231546928983361","-0.620748974529667","0.213679737725112","-0.18531156695277","0.335416977774956","-0.00131157614006956","-0.127790941535862","0.324154315509559","0.0862769047780999","0.560258866133848","1.19262011869003","-0.190768247882022"
"Monthly","Bank Transfer","Yes","Other",54.64,2013-06-25,1,218.9,42,"No","0.054401776576052","-0.198740875304538","","-0.0872754840421563","0.113802275688271","0.165313809371592","0.492670111495789","0.327799416809764","-0.127177080335089","-0.0334621884283427","-0.121294759721645","0.0226894398716505","0.0973995481597872","-0.241179389619025","-0.00338296856377428","","0.124070258808566","-0.140970525667496","0.006506451813082","0.322983393304637"
"Monthly","Credit Card","Yes","DSL2",72.56,2012-04-16,2,202.87,31,"No","-0.514960186162402","0.0539071678330778","-0.154167585596958","-0.348855860373066","-0.254337946694704","-0.632404582520193","-0.144562240242698","-0.686776923765297","-0.411290527537119","","0.601169691653035","-0.514313218959622","-0.887808915259662","-0.969695159024694","-0.552425851646749","-0.0949442239157753","-0.352988663994687","-0.632256260194401","-0.862645096125731",""
"1-Year","Bank Transfer","Yes","Fiber Optic",61.05,2011-07-09,4,162.57,46,"No","0.0521950411716741","","0.28162590273305","0.841971856095859","0.715900993453456","0.1280893338793","0.167556789841203","0.468211879157084","0.369460948809355","0.776353534170856","0.283398545937456","","0.31196261275065","0.104613294617866","0.0312463124766943","","-0.0949841868066332","0.514053778777429","0.301647732348241","0.125030834739255"
"Monthly","Bank Transfer","Yes","Other",96.9,2020-07-11,2,175.21,24,"No","-0.169979640451905","-0.886335121412069","-0.679745316407203","-0.419895427727698","-1.31540996003757","-0.877790091492005","-0.396435297297905","-0.634690820788855","-0.582293802579764","-1.21148519557463","-0.34539188144284","-0.882174919629299","-0.0337548706869772","-0.957109371844618","-0.565549384538137","-0.360570264049412","-0.432062135157454","-0.317868170022947","-0.667374981781341","-0.524183319497581"
